record,name,selling_price,model_year,vehicle_age,km_driven,seats,fuel_type,seller_type,transmission,owner,mileage,engine,max_power,brand
1,Maruti Ritz VDi,425000,2016,5,70000,5,4,1,2,1,23.2,1248,73,Maruti
2,Hyundai Grand i10 1.2 CRDi Sportz,700000,2018,3,35000,5,4,1,2,1,24,1186,73,Hyundai
3,Tata Indigo eCS LX BSIV,210000,2011,10,175000,5,4,1,2,2,23.03,1396,69,Tata
4,Toyota Etios VX,625000,2017,4,25538,5,3,3,2,1,16.78,1496,88,Toyota
5,Tata Hexa XM,1300000,2018,3,35000,7,4,1,2,1,17.6,2179,153,Tata
6,Honda Brio 1.2 E MT,400000,2017,4,50000,5,3,1,2,1,18.5,1198,86,Honda
7,Maruti Swift VXI Optional,550000,2016,5,20000,5,3,1,2,1,20.4,1197,81,Maruti
8,Maruti Ertiga VXI,423000,2015,6,60000,7,3,1,2,2,16.02,1373,93,Maruti
9,Toyota Innova Crysta 2.4 ZX MT BSIV,1748999,2017,4,33019,7,4,2,2,1,13.68,2393,147,Toyota
10,Mahindra TUV 300 T8 AMT,660000,2017,4,50000,7,4,1,1,1,18.49,1493,100,Mahindra
11,Honda City 2017-2020 EXi,170000,2007,14,110000,5,3,1,2,3,17.7,1497,78,Honda
12,Hyundai i20 1.4 Asta Option,800000,2018,3,30000,5,4,1,2,1,22.54,1396,88,Hyundai
13,Hyundai Grand i10 1.2 Kappa Sportz BSIV,610000,2018,3,10000,5,3,1,2,1,18.9,1197,81,Hyundai
14,Maruti Swift VXI,550000,2019,2,11500,5,3,1,2,1,21.21,1197,81,Maruti
15,Renault KWID RXT,300000,2016,5,66693,5,3,2,2,1,25.17,799,53,Renault
16,Hyundai Accent Executive LPG,165000,2010,11,80000,5,2,1,2,1,13.2,1495,93,Hyundai
17,Volkswagen Vento Konekt Diesel Highline,575000,2014,7,90000,5,4,1,2,1,20.54,1598,103,Volkswagen
18,Maruti Swift Dzire VDI,770000,2019,2,27000,5,4,1,2,1,28.4,1248,74,Maruti
19,Mahindra XUV500 W5 BSIV,1200000,2018,3,25000,7,4,1,2,1,15.1,2179,152,Mahindra
20,Maruti Alto LXi,190000,2010,11,35000,5,3,1,2,1,19.7,796,46,Maruti
21,Maruti Swift VDI Deca,630000,2016,5,70000,5,4,1,2,1,25.2,1248,74,Maruti
22,Volkswagen Polo 1.5 TDI Comfortline,434999,2015,6,50000,5,4,1,2,1,20.14,1498,88,Volkswagen
23,Hyundai Santro Xing GLS,135000,2009,12,80000,5,3,1,2,2,17.92,1086,62,Hyundai
24,Toyota Etios G,540000,2016,5,15500,5,3,1,2,1,16.78,1496,88,Toyota
25,Maruti Esteem Lxi - BSIII,55000,2007,14,70000,5,3,1,2,3,15.9,1298,85,Maruti
26,Ford Aspire Titanium BSIV,675000,2019,2,7000,5,3,1,2,1,19.4,1194,94,Ford
27,Jeep Compass 2.0 Limited,1757000,2018,3,24000,5,4,1,2,1,17.1,1956,170,Jeep
28,Fiat Grande Punto 1.3 Dynamic (Diesel),450000,2012,9,70000,5,4,1,2,1,20.3,1248,75,Fiat
29,Maruti Ritz LDi,350000,2016,5,120000,5,4,1,2,3,23.2,1248,73,Maruti
30,Hyundai Grand i10 Magna AT,625000,2019,2,4337,5,3,2,1,1,18.9,1197,82,Hyundai
31,Hyundai Verna CRDi SX ABS,375000,2009,12,100000,5,4,1,2,1,18.1,1493,110,Hyundai
32,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,330000,2008,13,193623,8,4,1,2,2,12.8,2494,102,Toyota
33,Maruti Alto LXI,90000,2005,16,40000,5,3,1,2,2,19.7,796,46,Maruti
34,Maruti Alto 800 LXI,215000,2013,8,35000,5,3,1,2,1,22.74,796,47,Maruti
35,Volkswagen Vento 1.5 TDI Highline BSIV,1350000,2019,2,5400,5,4,2,2,1,22.27,1498,108,Volkswagen
36,Maruti Swift AMT VDI,790000,2018,3,16000,5,4,2,1,1,28.4,1248,74,Maruti
37,Toyota Innova 2.5 G4 Diesel 8-seater,450000,2010,11,210000,8,4,1,2,2,12.8,2494,102,Toyota
38,Chevrolet Sail Hatchback Petrol,229999,2013,8,46000,5,3,1,2,1,18.2,1199,84,Chevrolet
39,Chevrolet Aveo U-VA 1.2,65000,2007,14,30000,5,3,1,2,2,14.7,1150,76,Chevrolet
40,Nissan Micra Diesel XV Premium,204999,2012,9,120000,5,4,1,2,1,23.08,1461,63,Nissan
41,Tata Safari Storme EX,503000,2015,6,110000,7,4,1,2,1,14.1,2179,147,Tata
42,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,960000,2017,4,42000,5,4,2,2,1,23,1498,98,Ford
43,Tata Indigo CS LS (TDI) BS III,175000,2013,8,120000,5,4,1,2,1,19.09,1396,69,Tata
44,Hyundai Santro Xing GL Plus,350000,2012,9,80000,5,3,1,2,1,17.92,1086,62,Hyundai
45,Maruti Swift Vdi BSIII,185000,2007,14,90000,5,4,1,2,4,17.8,1248,75,Maruti
46,Tata Manza Aura Quadrajet,202999,2010,11,158000,5,4,1,2,1,18.8,1248,90,Tata
47,Toyota Innova Crysta 2.4 VX MT BSIV,1576000,2018,3,70000,7,4,1,2,1,13.68,2393,147,Toyota
48,Tata Tigor 1.2 Revotron XT,450000,2018,3,75000,5,3,1,2,1,20.3,1199,84,Tata
49,Honda City V AT,409999,2010,11,110000,5,3,1,1,3,15.6,1497,116,Honda
50,Toyota Platinum Etios 1.4 GXD,550000,2017,4,40000,5,4,1,2,1,23.59,1364,67,Toyota
51,Volkswagen Vento Petrol Highline,535000,2012,9,12000,5,3,2,2,2,15.04,1598,103,Volkswagen
52,Audi Q7 35 TDI Quattro Premium,2650000,2015,6,53000,7,4,2,1,1,12.07,2967,241,Audi
53,Honda Jazz 1.2 VX i VTEC,526000,2016,5,15000,5,3,2,2,1,18.7,1199,88,Honda
54,Maruti Alto LXi BSIII,125000,2009,12,60000,5,3,1,2,3,19.7,796,46,Maruti
55,Hyundai i20 Sportz 1.2,375000,2013,8,70000,5,3,1,2,1,18.5,1197,82,Hyundai
56,Tata Nexon 1.2 Revotron XM,740000,2018,3,15000,5,3,1,2,1,17,1198,108,Tata
57,Mahindra Scorpio VLS AT 2.2 mHAWK,490000,2010,11,110000,8,4,1,1,1,11.79,2179,120,Mahindra
58,Maruti Alto LX,120000,2006,15,30000,5,3,1,2,2,19.7,796,46,Maruti
59,Honda Jazz VX,550000,2016,5,56494,5,3,3,2,1,18.2,1199,88,Honda
60,Hyundai Creta 1.6 CRDi SX Plus,925000,2016,5,79000,5,4,2,2,1,19.67,1582,126,Hyundai
61,Maruti Swift Dzire VDI,620000,2017,4,61000,5,4,1,2,1,26.59,1248,74,Maruti
